"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"5640","RT @MichaelDeLauzon: Every time you buy gasoline you are paying for Biden’s Green New Deal and Climate (money laundering) Change.",FALSE,0,NA,2022-02-24 18:22:26,FALSE,NA,"1496913426861498371",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","MichaelMontalt2",21,TRUE,FALSE,NA,NA
"5641","RT @LorianMandy: @SteveDaines @JoeBiden Hmmm, the Green New Deal would've had us energy independent Steve. Why did you vote AGAINST IT????",FALSE,0,NA,2022-02-24 18:22:19,FALSE,NA,"1496913396930793481",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Costavjw",2,TRUE,FALSE,NA,NA
"5642","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:22:09,FALSE,NA,"1496913355533074434",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","Oke8810",1964,TRUE,FALSE,NA,NA
"5643","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:21:46,FALSE,NA,"1496913255649980416",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Lyrica09976192",1964,TRUE,FALSE,NA,NA
"5644","RT @TheUSASingers: The Green New Deal, implemented worldwide, would bankrupt Putin once and for all.",FALSE,0,NA,2022-02-24 18:21:35,FALSE,NA,"1496913211513212928",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Mainekindxl",94,TRUE,FALSE,NA,NA
"5645","Warmongering autocrats and oligarchs sure seem to have a lot of leverage with their fossil fuel fortunes. How might… https://t.co/19ExRlNe7B",FALSE,5,NA,2022-02-24 18:21:32,TRUE,NA,"1496913196745203715",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","johnpaul_mejia",1,FALSE,FALSE,NA,NA
"5646","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:21:27,FALSE,NA,"1496913175932915713",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mishee_mckee",1964,TRUE,FALSE,NA,NA
"5647","@Tribunin Green new deal 🙃",FALSE,0,"Tribunin",2022-02-24 18:21:26,FALSE,"1496906282145665032","1496913171633819662","151597413","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JovanJa31040636",0,FALSE,FALSE,NA,NA
"5648","RT @jdcmedlock: We could call it a ""Green New Deal""",FALSE,0,NA,2022-02-24 18:21:24,FALSE,NA,"1496913166244073478",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","hhtaylorjr",201,TRUE,FALSE,NA,NA
"5649","RT @Cernovich: The Green New Deal mindset shut down domestic energy production. No nuclear energy. No fracking. No keystone pipeline. It wa…",FALSE,0,NA,2022-02-24 18:21:03,FALSE,NA,"1496913078537142282",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","0xN31",1964,TRUE,FALSE,NA,NA
